iso,anio,balance_fiscal,deuda_publica,ingreso_publico
ABW,2015,,,
ABW,2016,,,
ABW,2017,,,
ABW,2018,,,
ABW,2019,,,
ABW,2020,,,
ABW,2021,,,
ABW,2022,,,
ABW,2023,,,
ARG,2015,-3.39011034719535,,22.1490803040164
ARG,2016,-5.33377782706346,,21.2567013071388
ARG,2017,-5.51824569508007,,19.3371239744582
ARG,2018,-5.33635226717988,,17.7024488717292
ARG,2019,-4.92889704924096,,17.7888990504455
ARG,2020,-8.6954919523039,,17.4777322783093
ARG,2021,-4.37239542495983,,18.0764989044589
ARG,2022,-4.42708731934181,,17.893195301026
ARG,2023,-3.59487367618527,,17.7753274051522
ATG,2015,,,
ATG,2016,,,
ATG,2017,,,
ATG,2018,,,
ATG,2019,,,
ATG,2020,,,
ATG,2021,,,
ATG,2022,,,
ATG,2023,,,
BHS,2015,-3.23821987412989,47.6225079407988,14.6273782452524
BHS,2016,-2.60907980439192,50.2046646297839,16.7435935230496
BHS,2017,-5.3083648775197,52.624565152769,16.6326878235545
BHS,2018,-3.23645001248128,56.5027068771842,15.9117105591613
BHS,2019,-1.65181140317843,56.6924606462303,18.2742562325827
BHS,2020,-7.83218419986105,79.0414158203086,20.1369104813185
BHS,2021,-11.0938698263687,82.5398306524293,15.8516580958711
BHS,2022,-5.19361424932359,77.6639776530748,18.7489017543607
BHS,2023,-3.4954019304185,73.7303208143,18.691039629894
BLZ,2015,-3.75341494678653,,22.1980924438071
BLZ,2016,-3.39757154965879,,22.4029818854459
BLZ,2017,-1.16349962472886,,23.8070928559695
BLZ,2018,,,
BLZ,2019,,,
BLZ,2020,,,
BLZ,2021,,,
BLZ,2022,,,
BLZ,2023,,,
BOL,2015,,,
BOL,2016,,,
BOL,2017,,,
BOL,2018,,,
BOL,2019,,,
BOL,2020,,,
BOL,2021,,,
BOL,2022,,,
BOL,2023,,,
BRA,2015,-8.03019066677877,67.5375540307946,25.8123252140431
BRA,2016,-7.06027781099588,73.4188038019563,26.173225388189
BRA,2017,-7.7163015572921,83.6692026491606,24.3609920782892
BRA,2018,-6.78706251271256,86.6078841212333,25.2724385286024
BRA,2019,-5.30690433831975,92.5652531951269,25.5600401306072
BRA,2020,-12.4363388244923,98.7098819471851,22.1948673455795
BRA,2021,-4.53656203172015,85.011503676948,24.6358299212806
BRA,2022,-4.46637752028169,79.1023218880378,26.9365134620331
BRA,2023,-6.86868984803199,83.0317498523499,25.3707484836752
BRB,2015,-7.21373287821486,117.275144046752,22.10491944754
BRB,2016,-4.15237850244951,125.131136441335,25.2273067617101
BRB,2017,,,
BRB,2018,,,
BRB,2019,,,
BRB,2020,,,
BRB,2021,,,
BRB,2022,,,
BRB,2023,,,
CHL,2015,-2.14568328960442,,21.1423576597254
CHL,2016,-2.73388798624091,,20.8570992758656
CHL,2017,-2.55814767454965,,21.1680432165628
CHL,2018,-1.7258596181872,,22.1740306166793
CHL,2019,-2.84519500863434,,21.739927149931
CHL,2020,-7.21904641164918,,19.9382667510933
