iso,anio,embig
ARG,2015,589.8
ARG,2016,475.6
ARG,2017,412.0
ARG,2018,547.5
ARG,2019,1316.5
ARG,2020,2235.2
ARG,2021,1578.0
ARG,2022,2174.7
ARG,2023,2223.0
BRA,2015,360.3
BRA,2016,395.4
BRA,2017,263.5
BRA,2018,264.5
BRA,2019,235.5
BRA,2020,316.5
BRA,2021,281.2
BRA,2022,296.7
BRA,2023,229.4
CHL,2017,130.2
CHL,2018,132.8
CHL,2019,136.3
CHL,2020,197.0
CHL,2021,140.8
CHL,2022,177.8
CHL,2023,140.1
COL,2015,249.5
COL,2016,279.6
COL,2017,193.9
COL,2018,183.4
COL,2019,183.7
COL,2020,261.4
COL,2021,261.3
COL,2022,394.6
COL,2023,357.6
ECU,2015,995.2
ECU,2016,998.3
ECU,2017,621.4
ECU,2018,639.8
ECU,2019,693.9
ECU,2020,2371.9
ECU,2021,913.0
ECU,2022,1137.8
ECU,2023,1774.7
MEX,2015,250.9
MEX,2016,303.7
MEX,2017,256.0
MEX,2018,272.2
MEX,2019,318.3
MEX,2020,474.5
MEX,2021,354.2
MEX,2022,403.8
MEX,2023,377.3
PER,2015,200.7
PER,2016,199.9
PER,2017,145.0
PER,2018,147.2
PER,2019,128.7
PER,2020,173.4
PER,2021,165.4
PER,2022,208.9
PER,2023,183.9
VEN,2015,2772.3
VEN,2016,2750.6
VEN,2017,2845.0
VEN,2018,5162.6
VEN,2019,9828.5
VEN,2020,23796.5
VEN,2021,29062.0
VEN,2022,41978.9
VEN,2023,35109.8
